Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
GLBS,Globus Maritime Limited - Common Stock,2.77,95.2,-12.6,2.46,2.04,1.84,3.17,1.0
DVA,DaVita Inc. Common Stock,236.97,95.2,0.0,208.94,160.56,151.26,236.97,103.87
CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",203.08,95.2,-3.6,171.97,129.76,129.56,210.73,87.56
IMVT,"Immunovant, Inc.  - Common Stock",40.26,95.1,-2.0,34.32,28.88,26.92,41.09,14.69
TRVI,"Trevi Therapeutics, Inc. - Common Stock",19.07,95.1,-2.2,15.72,13.29,12.75,19.5,6.82
LIND,Lindblad Expeditions Holdings Inc.  - Common Stock,27.67,95.0,-6.4,23.54,19.49,17.65,29.57,11.45
BJRI,"BJ's Restaurants, Inc. - Common Stock",67.49,94.9,0.0,50.85,43.29,40.96,67.49,28.69
INSW,"International Seaways, Inc. Common Stock ",86.76,94.9,-3.6,81.34,67.28,61.65,89.98,34.06
IMUX,"Immunic, Inc.  - Common Stock",15.16,94.8,-1.6,13.75,10.52,9.84,15.41,5.1
ARCB,ArcBest Corporation - Common Stock,159.81,94.8,-7.7,141.7,111.8,101.12,173.22,59.5
CNC,Centene Corporation Common Stock,66.44,94.8,-3.3,62.33,48.13,45.26,68.72,25.21
ATEN,"A10 Networks, Inc. Common Stock",35.96,94.8,-5.6,32.32,24.67,22.87,38.11,16.47
PARR,"Par Pacific Holdings, Inc.  Common Stock",76.25,94.7,0.0,59.43,51.97,49.04,76.25,27.09
CADL,"Candel Therapeutics, Inc. - Common Stock",10.18,94.7,-1.7,8.86,6.71,6.34,10.36,4.42
NHC,National HealthCare Corporation Common Stock,228.16,94.6,0.0,198.01,168.64,157.62,228.16,92.88
ELMD,"Electromed, Inc. Common Stock",42.1,94.6,-9.1,38.39,30.32,29.07,46.31,18.12
KYMR,"Kymera Therapeutics, Inc. - Common Stock",115.77,94.5,-3.0,93.01,85.26,79.58,119.35,37.68
OSCR,"Oscar Health, Inc. Class A Common Stock",29.1,94.5,-9.6,26.51,18.62,18.45,32.18,10.85
PKOH,Park-Ohio Holdings Corp. - Common Stock,37.76,94.4,-3.3,34.03,27.71,25.81,39.06,15.32
GHRS,GH Research PLC - Ordinary Shares,28.71,94.4,-1.4,23.68,18.32,17.2,29.13,11.8
CYRX,"CryoPort, Inc. - Common Stock",16.51,94.4,-0.4,14.9,11.2,10.75,16.57,6.71
DHX,"DHI Group, Inc. Common Stock",4.1,94.3,0.0,3.7,2.74,2.55,4.1,1.5
