Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
INSW,"International Seaways, Inc. Common Stock ",92.28,96.2,0.0,81.94,68.8,62.87,92.28,35.37
PARR,"Par Pacific Holdings, Inc.  Common Stock",77.39,96.2,-3.7,60.95,53.22,50.12,80.4,27.09
LASR,"nLIGHT, Inc. - Common Stock",70.02,96.1,-17.6,69.96,61.15,54.04,84.95,19.34
PVLA,"Palvella Therapeutics, Inc. - Common Stock",138.01,96.1,-12.2,126.66,115.71,107.72,157.24,36.55
BWEN,"Broadwind, Inc. - Common Stock",4.83,96.1,-6.8,4.33,3.21,3.05,5.18,1.97
FATE,"Fate Therapeutics, Inc. - Common Stock",2.41,96.0,-22.5,2.38,1.65,1.55,3.11,0.92
DDOG,"Datadog, Inc. - Class A Common Stock",246.86,96.0,-11.0,239.61,165.6,164.77,277.49,102.61
FLXS,"Flexsteel Industries, Inc. - Common Stock",75.2,95.9,-1.3,64.67,52.7,48.97,76.2,32.79
FEIM,"Frequency Electronics, Inc. - Common Stock",72.46,95.9,-9.3,66.48,56.96,51.18,79.85,26.3
AMWL,American Well Corporation Class A Common Stock,10.81,95.8,-18.3,9.23,6.68,6.2,13.23,3.78
CVLG,"Covenant Logistics Group, Inc. Class A Common Stock",46.75,95.7,-6.3,42.98,32.72,29.66,49.88,17.94
DAVE,Dave Inc.  - Class A Common Stock,402.81,95.7,-9.0,324.04,247.37,239.4,442.53,155.92
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",5.23,95.7,-8.4,4.91,4.04,3.65,5.71,1.53
FTNT,"Fortinet, Inc. - Common Stock",152.37,95.7,-8.7,146.57,104.02,98.81,166.83,74.39
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,6.61,95.6,-15.8,6.11,4.6,4.13,7.85,1.9
LIND,Lindblad Expeditions Holdings Inc.  - Common Stock,26.85,95.6,-9.2,24.24,19.95,18.02,29.57,11.45
BJRI,"BJ's Restaurants, Inc. - Common Stock",66.86,95.6,-2.9,53.43,44.2,41.86,68.84,28.69
PANW,"Palo Alto Networks, Inc. - Common Stock",323.79,95.5,-9.7,297.04,214.08,211.6,358.68,141.67
NAT,Nordic American Tankers Limited Common Stock,6.45,95.5,-0.3,5.65,4.98,4.56,6.47,2.54
ATI,ATI Inc. Common Stock,197.8,95.4,-3.1,184.04,155.87,140.71,204.09,71.34
ECO,Okeanis Eco Tankers Corp. Common Stock,57.88,95.4,0.0,52.42,46.3,42.75,57.88,22.07
VCYT,"Veracyte, Inc. - Common Stock",56.61,95.4,-6.4,51.83,41.79,41.39,60.49,23.51
